@USER,1206
आहे,644
आणि,525
नाही,375
चांगला,370
तर,296
पण,278
काय,276
हे,220
का,190
की,187
ते,165
एक,160
आहेत,153
ला,145
या,142
काही,141
मंद,139
आता,130
बावळट,123
मराठी,121
हा,120
मी,119
तरी,115
आज,115
ही,113
तुम्ही,112
मध्ये,110
म्हणून,106
अरे,103
साली,102
तू,102
मग,98
तो,98
त्या,96
…,94
लोक,92
तोंडात,90
च्या,87
फक्त,86
दळभद्री,85
ना,82
मुंबई,81
गोट्या,81
रे,79
तुझ्या,79
आपल्या,77
होता,75
किती,75
म्हणजे,74
ची,74
कंगना,74
व,72
होते,71
नालायक,70
करत,68
महाराष्ट्र,67
ती,66
चुतिया,65
चा,64
सरकार,63
तुमच्या,62
खूप,61
आपण,61
असेल,60
ने,59
ह्या,55
हो,55
वर,55
मला,55
भिकारचोट,55
तुला,55
?,55
च्यायला,53
आ…,53
न,52
माणूस,51
पाहिजे,51
सर्व,50
तेव्हा,50
कधी,49
असं,49
झाला,48
करून,48
दिवस,47
करा,47
वेळ,46
केला,46
माझ्या,45
जास्त,45
असते,45
आम्ही,44
साहेब,43
महाराष्ट्रात,43
त्याला,43
जे,42
जर,42
च,42
केली,42
कारण,42
एका,42
होत,41
मुख्यमंत्री,41
असतो,41
असतात,41
लोकांना,40
भक्त,40
जेव्हा,40
आधी,40
तुम्हाला,39
कोण,39
मोदी,38
मराठा,38
घेऊन,38
आली,38
यांना,37
नाव,37
त्यांना,37
चे,37
भाजप,36
नाहीत,36
तुझी,36
नको,35
तु,35
निर्णय,34
अजून,34
प्रत्येक,33
झाले,33
झाली,33
जी,32
कोणी,32
कि,32
असे,32
साठी,31
येत,31
भडव्या,30
पेक्षा,30
त्यांच्या,30
ज्या,30
जो,30
आमच्या,30
असताना,30
होती,29
हिंदी,29
सगळे,29
राज्य,29
माहिती,29
जात,29
करायला,29
इथे,29
सुद्धा,28
रांड,28
चुतीया,28
काम,28
का?,28
करतो,28
आले,28
सुशांत,27
शब्द,27
बुद्धी,27
बंद,27
दोन,27
तुमची,27
कुठे,27
आरक्षण,27
विचार,26
रिया,26
यांच्या,26
माझा,26
भारतीय,26
बरोबर,26
देत,26
तेच,26
केले,26
किंवा,26
आहेस,26
आला,26
आई,26
-,26
बोचा,25
घ्या,25
गोष्टी,25
सर्वात,24
वाटत,24
मुर्खा,24
मित्र,24
बघा,24
गप्प,24
हेच,23
लोकं,23
याचा,23
दादा,23
त्याच्या,23
तुझा,23
चालू,23
आहे…,23
आयुष्य,23
अशी,23
अन,23
सारख्या,22
सरकारने,22
लायकी,22
लाख,22
येईल,22
यांनी,22
नेहमी,22
नका,22
कोरोना,22
।,21
होतो,21
होईल,21
सैनिक,21
सारखे,21
सांगा,21
मादरचोद,21
मात्र,21
माणसाला,21
बातमी,21
त्याचा,21
घरी,21
कमी,21
आपले,21
आपला,21
आईघाल्या,21
अजूनही,21
स्वतःच्या,20
राज्यात,20
मुंबईत,20
मंत्री,20
प्रेम,20
प्रश्न,20
पैसे,20
नंतर,20
देश,20
तिला,20
करू,20
करणार,20
कर,20
उत्तर,20
आपली,20
असतं,20
है,19
हिमाचल,19
स्वतः,19
स्थगिती,19
सोडून,19
शुभेच्छा,19
योग्य,19
माहीत,19
बाप,19
प्रयत्न,19
पुन्हा,19
त्यात,19
ठाकरे,19
केंद्र,19
एकच,19
आहात,19
असला,19
अशा,19
अनेक,19
होऊ,18
वाचा,18
येतात,18
मोठा,18
भारतात,18
भारत,18
बिहार,18
पुढे,18
नाहीतर,18
नक्की,18
द्या,18
झकास,18
घरात,18
गेले,18
गेली,18
करता,18
कधीच,18
असा,18
असतील,18
अस,18
होणार,17
सुंदर,17
संजय,17
शकत,17
वाट,17
येऊन,17
म…,17
मोठी,17
मागे,17
महाराष्ट्राला,17
मदत,17
बोल,17
बाकी,17
पुच्ची,17
पासून,17
पाणी,17
पाटील,17
पाऊस,17
परत,17
त्यामुळे,17
जातो,17
क…,17
आम्हाला,17
अपमान,17
९,16
सोबत,16
मोठे,16
मीडिया,16
माहित,16
माजी,16
भाग,16
फोटो,16
पक्ष,16
नेता,16
नक्कीच,16
देशाची,16
त्यांची,16
तोच,16
तिथे,16
ट्विट,16
जाऊन,16
छान,16
घेतला,16
घर,16
गेला,16
खेळत,16
खुप,16
खरं,16
कितीही,16
काय?,16
एवढी,16
एखाद्या,16
उद्या,16
इतर,16
आशा,16
आयुष्यात,16
अनधिकृत,16
२०१४,15
हरामखोर,15
राजकारण,15
राऊत,15
मूर्खा,15
माझे,15
माझी,15
भाजपा,15
भाऊ,15
बोलत,15
बाई,15
बघ,15
फोन,15
त्याची,15
त,15
टीका,15
गोटया,15
गुरू,15
केलं,15
के,15
कुठं,15
कारवाई,15
कसा,15
कशाला,15
आरक्षणाला,15
आमदार,15
आपल्याला,15
अपेक्षा,15
??,15
हार्दिक,14
हवी,14
सुरू,14
सप्टेंबर,14
सगळ्यात,14
शिव्या,14
शिवाजी,14
शिवसेना,14
लाज,14
लागला,14
लक्षात,14
यांचे,14
महाराष्ट्रातील,14
मनात,14
मधून,14
म,14
बिहारचा,14
फडणवीस,14
पाकिस्तान,14
ना…,14
नवीन,14
देणार,14
दे,14
झालं,14
जरा,14
छत्रपती,14
खेळाडू,14
काळ,14
करणे,14
करणाऱ्या,14
एखादा,14
एकदा,14
एकदम,14
अधिक,14
अक्कल,14
@USER…,14
३,13
सरकारच्या,13
समोर,13
संपूर्ण,13
शिक्षण,13
व्यक्ती,13
वाईट,13
लवडा,13
राष्ट्रीय,13
राम,13
यांची,13
मुळे,13
मिळाला,13
माणसा,13
मधे,13
बस,13
पर्यंत,13
पत्रकार,13
नीट,13
नसतो,13
देतो,13
देखील,13
दिली,13
त्याच,13
तुमचा,13
तुझे,13
झालाय,13
झाट,13
ज्याला,13
चीन,13
चांगले,13
घे,13
घालून,13
खरंच,13
का…,13
कळत,13
एवढा,13
उपक्रम,13
इतका,13
आलेल्या,13
असले,13
अतिशय,13
२०२०,12
हजार,12
स…,12
सोनू,12
सुरु,12
सारखा,12
समाधान,12
व्हा,12
विकास,12
वर्षात,12
राव,12
रहा,12
ये,12
म्हणतात,12
मोठ्या,12
माज,12
